,PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER
0,1628961,Kostas,Antetokounmpo,Kostas Antetokounmpo,"Antetokounmpo, Kostas",K. Antetokounmpo,kostas-antetokounmpo,1997-11-20T00:00:00,Dayton,Greece,Dayton/Greece,6-10,200,2,37,Forward,Active,N,1610612747,Lakers,LAL,lakers,Los Angeles,kostas_antetokounmpo,2018,2020,Y,Y,Y,2018,2,60
0,203648,Thanasis,Antetokounmpo,Thanasis Antetokounmpo,"Antetokounmpo, Thanasis",T. Antetokounmpo,thanasis-antetokounmpo,1992-07-18T00:00:00,Panathinaikos,Greece,Panathinaikos/Greece,6-6,219,2,43,Forward,Active,N,1610612752,Knicks,NYK,knicks,New York,thanasis_antetokounmpo,2015,2020,Y,Y,Y,2014,2,51
0,2546,Carmelo,Anthony,Carmelo Anthony,"Anthony, Carmelo",C. Anthony,carmelo-anthony,1984-05-29T00:00:00,Syracuse,USA,Syracuse/USA,6-8,238,17,00,Forward,Active,N,1610612757,Trail Blazers,POR,blazers,Portland,carmelo_anthony,2003,2020,N,Y,Y,2003,1,3
0,1628384,OG,Anunoby,OG Anunoby,"Anunoby, OG",O. Anunoby,og-anunoby,1997-07-17T00:00:00,Indiana,United Kingdom,Indiana/United Kingdom,6-7,232,3,3,Forward,Active,N,1610612761,Raptors,TOR,raptors,Toronto,og_anunoby,2017,2020,N,Y,Y,2017,1,23
0,1627853,Ryan,Arcidiacono,Ryan Arcidiacono,"Arcidiacono, Ryan",R. Arcidiacono,ryan-arcidiacono,1994-03-26T00:00:00,Villanova,USA,Villanova/USA,6-3,195,3,51,Guard,Active,N,1610612741,Bulls,CHI,bulls,Chicago,ryan_arcidiacono,2017,2020,Y,Y,Y,Undrafted,Undrafted,Undrafted
0,2772,Trevor,Ariza,Trevor Ariza,"Ariza, Trevor",T. Ariza,trevor-ariza,1985-06-30T00:00:00,UCLA,USA,UCLA/USA,6-8,215,16,8,Forward,Active,N,1610612757,Trail Blazers,POR,blazers,Portland,trevor_ariza,2004,2020,N,Y,Y,2004,2,43
0,201571,D.J.,Augustin,D.J. Augustin,"Augustin, D.J.",D. Augustin,dj-augustin,1987-11-10T00:00:00,Texas,USA,Texas/USA,5-11,183,12,14,Guard,Active,N,1610612753,Magic,ORL,magic,Orlando,d.j._augustin,2008,2020,N,Y,Y,2008,1,9
0,1629028,Deandre,Ayton,Deandre Ayton,"Ayton, Deandre",D. Ayton,deandre-ayton,1998-07-23T00:00:00,Arizona,Bahamas,Arizona/Bahamas,6-11,250,2,22,Center,Active,N,1610612756,Suns,PHX,suns,Phoenix,deandre_ayton,2018,2020,N,Y,Y,2018,1,1
0,1628407,Dwayne,Bacon,Dwayne Bacon,"Bacon, Dwayne",D. Bacon,dwayne-bacon,1995-08-30T00:00:00,Florida State,USA,Florida State/USA,6-6,221,3,7,Guard-Forward,Active,N,1610612766,Hornets,CHA,hornets,Charlotte,dwayne_bacon,2017,2020,Y,Y,Y,2017,2,40
0,1628963,Marvin,Bagley III,Marvin Bagley III,"Bagley III, Marvin",M. Bagley III,marvin-bagley-iii,1999-03-14T00:00:00,Duke,USA,Duke/USA,6-11,235,2,35,Forward,Active,N,1610612758,Kings,SAC,kings,Sacramento,marvin_bagley_iii,2018,2020,N,Y,Y,2018,1,2
0,1628366,Lonzo,Ball,Lonzo Ball,"Ball, Lonzo",L. Ball,lonzo-ball,1997-10-27T00:00:00,UCLA,USA,UCLA/USA,6-6,190,3,2,Guard,Active,N,1610612740,Pelicans,NOP,pelicans,New Orleans,lonzo_ball,2017,2020,N,Y,Y,2017,1,2
0,1628964,Mo,Bamba,Mo Bamba,"Bamba, Mo",M. Bamba,mo-bamba,1998-05-12T00:00:00,Texas-Austin,USA,Texas-Austin/USA,7-0,231,2,5,Center,Active,N,1610612753,Magic,ORL,magic,Orlando,mohamed_bamba,2018,2020,N,Y,Y,2018,1,6
0,200826,J.J.,Barea,J.J. Barea,"Barea, J.J.",J. Barea,jj-barea,1984-06-26T00:00:00,Northeastern,Puerto Rico,Northeastern/Puerto Rico,5-10,180,14,5,Guard,Active,N,1610612742,Mavericks,DAL,mavericks,Dallas,j.j._barea,2006,2020,Y,Y,Y,Undrafted,Undrafted,Undrafted
0,203084,Harrison,Barnes,Harrison Barnes,"Barnes, Harrison",H. Barnes,harrison-barnes,1992-05-30T00:00:00,North Carolina,USA,North Carolina/USA,6-8,225,8,40,Forward,Active,N,1610612758,Kings,SAC,kings,Sacramento,harrison_barnes,2012,2020,N,Y,Y,2012,1,7
0,1629628,RJ,Barrett,RJ Barrett,"Barrett, RJ",R. Barrett,rj-barrett,2000-06-14T00:00:00,Duke,Canada,Duke/Canada,6-6,214,1,9,Forward-Guard,Active,N,1610612752,Knicks,NYK,knicks,New York,rj_barrett,2019,2020,N,Y,Y,2019,1,3
0,203115,Will,Barton,Will Barton,"Barton, Will",W. Barton,will-barton,1991-01-06T00:00:00,Memphis,USA,Memphis/USA,6-5,181,8,5,Guard,Active,N,1610612743,Nuggets,DEN,nuggets,Denver,will_barton,2012,2020,Y,Y,Y,2012,2,40
0,1628966,Keita,Bates-Diop,Keita Bates-Diop,"Bates-Diop, Keita",K. Bates-Diop,keita-bates-diop,1996-01-23T00:00:00,Ohio State,USA,Ohio State/USA,6-8,229,2,6,Forward,Active,N,1610612743,Nuggets,DEN,nuggets,Denver,keita_bates-diop,2018,2020,Y,Y,Y,2018,2,48
0,201587,Nicolas,Batum,Nicolas Batum,"Batum, Nicolas",N. Batum,nicolas-batum,1988-12-14T00:00:00,Le Mans,France,Le Mans/France,6-9,230,12,5,Guard-Forward,Active,N,1610612766,Hornets,CHA,hornets,Charlotte,nicolas_batum,2008,2020,N,Y,Y,2008,1,25
0,203382,Aron,Baynes,Aron Baynes,"Baynes, Aron",A. Baynes,aron-baynes,1986-12-09T00:00:00,Washington State,Australia,Washington State/Australia,6-10,260,8,46,Center-Forward,Active,N,1610612756,Suns,PHX,suns,Phoenix,aron_baynes,2012,2020,Y,Y,Y,Undrafted,Undrafted,Undrafted
0,203145,Kent,Bazemore,Kent Bazemore,"Bazemore, Kent",K. Bazemore,kent-bazemore,1989-07-01T00:00:00,Old Dominion,USA,Old Dominion/USA,6-4,195,8,26,Guard-Forward,Active,N,1610612758,Kings,SAC,kings,Sacramento,kent_bazemore,2012,2020,Y,Y,Y,Undrafted,Undrafted,Undrafted
0,1629647,Darius,Bazley,Darius Bazley,"Bazley, Darius",D. Bazley,darius-bazley,2000-06-12T00:00:00,Princeton HS (OH),USA,Princeton HS (OH)/USA,6-8,208,1,7,Forward-Guard,Active,N,1610612760,Thunder,OKC,thunder,Oklahoma City,darius_bazley,2019,2020,N,Y,Y,2019,1,23
0,203078,Bradley,Beal,Bradley Beal,"Beal, Bradley",B. Beal,bradley-beal,1993-06-28T00:00:00,Florida,USA,Florida/USA,6-3,207,8,3,Guard,Active,N,1610612764,Wizards,WAS,wizards,Washington,bradley_beal,2012,2020,N,Y,Y,2012,1,3
0,1627736,Malik,Beasley,Malik Beasley,"Beasley, Malik",M. Beasley,malik-beasley,1996-11-26T00:00:00,Florida State,USA,Florida State/USA,6-4,187,4,5,Guard,Active,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,malik_beasley,2016,2020,Y,Y,Y,2016,1,19
0,201158,Marco,Belinelli,Marco Belinelli,"Belinelli, Marco",M. Belinelli,marco-belinelli,1986-03-25T00:00:00,Fortitudo Bologna,Italy,Fortitudo Bologna/Italy,6-5,220,13,18,Guard,Active,N,1610612759,Spurs,SAS,spurs,San Antonio,marco_belinelli,2007,2020,N,Y,Y,2007,1,18
0,1628395,Jordan,Bell,Jordan Bell,"Bell, Jordan",J. Bell,jordan-bell,1995-01-07T00:00:00,Oregon,USA,Oregon/USA,6-8,216,3,5,Forward,Active,N,1610612739,Cavaliers,CLE,cavaliers,Cleveland,jordan_bell,2017,2020,Y,Y,Y,2017,2,38
0,1627761,DeAndre',Bembry,DeAndre' Bembry,"Bembry, DeAndre'",D. Bembry,deandre-bembry,1994-07-04T00:00:00,St. Joseph's (PA),USA,St. Joseph's (PA)/USA,6-5,210,4,95,Guard-Forward,Active,N,1610612737,Hawks,ATL,hawks,Atlanta,deandre'_bembry,2016,2020,Y,Y,Y,2016,1,21
0,1627733,Dragan,Bender,Dragan Bender,"Bender, Dragan",D. Bender,dragan-bender,1997-11-17T00:00:00,Maccabi Tel Aviv,Croatia,Maccabi Tel Aviv/Croatia,7-0,249,3,,Forward,Inactive,N,0,,,,,dragan_bender,2016,2019,Y,Y,Y,2016,1,4
0,202722,Davis,Bertans,Davis Bertans,"Bertans, Davis",D. Bertans,davis-bertans,1992-11-12T00:00:00,Baskonia,Latvia,Baskonia/Latvia,6-10,225,4,42,Forward,Active,N,1610612764,Wizards,WAS,wizards,Washington,davis_bertans,2016,2020,Y,Y,Y,2011,2,42
0,201976,Patrick,Beverley,Patrick Beverley,"Beverley, Patrick",P. Beverley,patrick-beverley,1988-07-12T00:00:00,Arkansas,USA,Arkansas/USA,6-1,180,8,21,Guard,Active,N,1610612746,Clippers,LAC,clippers,LA,patrick_beverley,2012,2020,Y,Y,Y,2009,2,42
0,203920,Khem,Birch,Khem Birch,"Birch, Khem",K. Birch,khem-birch,1992-09-28T00:00:00,UNLV,Canada,UNLV/Canada,6-9,233,3,24,Center,Active,N,1610612753,Magic,ORL,magic,Orlando,khem_birch,2017,2020,Y,Y,Y,Undrafted,Undrafted,Undrafted
0,1629048,Goga,Bitadze,Goga Bitadze,"Bitadze, Goga",G. Bitadze,goga-bitadze,1999-07-20T00:00:00,Mega Basket,Georgia,Mega Basket/Georgia,6-11,250,1,88,Center-Forward,Active,N,1610612754,Pacers,IND,pacers,Indiana,goga_bitadze,2019,2020,Y,Y,Y,2019,1,18
0,202687,Bismack,Biyombo,Bismack Biyombo,"Biyombo, Bismack",B. Biyombo,bismack-biyombo,1992-08-28T00:00:00,Baloncesto Fuenlabrada,DRC,Baloncesto Fuenlabrada/DRC,6-8,255,9,8,Center,Active,N,1610612766,Hornets,CHA,hornets,Charlotte,bismack_biyombo,2011,2020,N,Y,Y,2011,1,7
0,202357,Nemanja,Bjelica,Nemanja Bjelica,"Bjelica, Nemanja",N. Bjelica,nemanja-bjelica,1988-05-09T00:00:00,Fenerbahce,Serbia,Fenerbahce/Serbia,6-10,234,5,88,Forward,Active,N,1610612758,Kings,SAC,kings,Sacramento,nemanja_bjelica,2015,2020,N,Y,Y,2010,2,35
0,202339,Eric,Bledsoe,Eric Bledsoe,"Bledsoe, Eric",E. Bledsoe,eric-bledsoe,1989-12-09T00:00:00,Kentucky,USA,Kentucky/USA,6-1,214,10,6,Guard,Active,N,1610612749,Bucks,MIL,bucks,Milwaukee,eric_bledsoe,2010,2020,Y,Y,Y,2010,1,18
0,203992,Bogdan,Bogdanovic,Bogdan Bogdanovic,"Bogdanovic, Bogdan",B. Bogdanovic,bogdan-bogdanovic,1992-08-18T00:00:00,Fenerbahce,Serbia,Fenerbahce/Serbia,6-6,220,3,8,Guard,Active,N,1610612758,Kings,SAC,kings,Sacramento,bogdan_bogdanovic,2017,2020,N,Y,Y,2014,1,27
0,202711,Bojan,Bogdanovic,Bojan Bogdanovic,"Bogdanovic, Bojan",B. Bogdanovic,bojan-bogdanovic,1989-04-18T00:00:00,Fenerbahce,Croatia,Fenerbahce/Croatia,6-8,226,6,44,Forward,Active,N,1610612762,Jazz,UTA,jazz,Utah,bojan_bogdanovic,2014,2020,N,Y,Y,2011,2,31
0,1629626,Bol,Bol,Bol Bol,"Bol, Bol",B. Bol,bol-bol,1999-11-16T00:00:00,Oregon,Sudan,Oregon/Sudan,7-2,220,1,10,Center-Forward,Active,N,1610612743,Nuggets,DEN,nuggets,Denver,bol_bol,2019,2020,Y,Y,Y,2019,2,44
0,1628413,Jonah,Bolden,Jonah Bolden,"Bolden, Jonah",J. Bolden,jonah-bolden,1996-01-02T00:00:00,UCLA,Australia,UCLA/Australia,6-8,225,1,,Forward,Inactive,N,0,,,,,jonah_bolden,2018,2019,Y,Y,Y,2017,2,36
0,1629648,Jordan,Bone,Jordan Bone,"Bone, Jordan",J. Bone,jordan-bone,1997-11-05T00:00:00,Tennessee,USA,Tennessee/USA,6-3,180,1,18,Guard,Active,N,1610612765,Pistons,DET,pistons,Detroit,jordan_bone,2019,2020,Y,Y,Y,2019,2,57
0,1629067,Isaac,Bonga,Isaac Bonga,"Bonga, Isaac",I. Bonga,isaac-bonga,1999-11-08T00:00:00,Skyliners Frankfurt,Germany,Skyliners Frankfurt/Germany,6-8,180,2,17,Guard,Active,N,1610612764,Wizards,WAS,wizards,Washington,isaac_bonga,2018,2020,Y,Y,Y,2018,2,39
0,1626164,Devin,Booker,Devin Booker,"Booker, Devin",D. Booker,devin-booker,1996-10-30T00:00:00,Kentucky,USA,Kentucky/USA,6-5,206,5,1,Guard,Active,N,1610612756,Suns,PHX,suns,Phoenix,devin_booker,2015,2020,N,Y,Y,2015,1,13
0,1628449,Chris,Boucher,Chris Boucher,"Boucher, Chris",C. Boucher,chris-boucher,1993-01-11T00:00:00,Oregon,Canada,Oregon/Canada,6-9,200,3,25,Forward-Center,Active,N,1610612761,Raptors,TOR,raptors,Toronto,chris_boucher,2017,2020,Y,Y,Y,Undrafted,Undrafted,Undrafted
0,1628968,Brian,Bowen II,Brian Bowen II,"Bowen II, Brian",B. Bowen II,brian-bowen-ii,1998-10-02T00:00:00,Sydney Kings,USA,Sydney Kings/USA,6-6,190,1,10,Forward-Guard,Active,N,1610612754,Pacers,IND,pacers,Indiana,brian_bowen_ii,2019,2020,Y,Y,Y,Undrafted,Undrafted,Undrafted
0,1629065,Ky,Bowman,Ky Bowman,"Bowman, Ky",K. Bowman,ky-bowman,1997-06-16T00:00:00,Boston College,USA,Boston College/USA,6-1,187,1,12,Guard,Active,N,1610612744,Warriors,GSW,warriors,Golden State,ky_bowman,2019,2020,Y,Y,Y,Undrafted,Undrafted,Undrafted
0,202340,Avery,Bradley,Avery Bradley,"Bradley, Avery",A. Bradley,avery-bradley,1990-11-26T00:00:00,Texas,USA,Texas/USA,6-3,180,10,11,Guard,Active,N,1610612747,Lakers,LAL,lakers,Los Angeles,avery_bradley,2010,2020,Y,Y,Y,2010,1,19
0,1628396,Tony,Bradley,Tony Bradley,"Bradley, Tony",T. Bradley,tony-bradley,1998-01-08T00:00:00,North Carolina,USA,North Carolina/USA,6-10,248,3,13,Center-Forward,Active,N,1610612762,Jazz,UTA,jazz,Utah,tony_bradley,2017,2020,Y,Y,Y,2017,1,28
0,1629714,Jarrell,Brantley,Jarrell Brantley,"Brantley, Jarrell",J. Brantley,jarrell-brantley,1996-06-07T00:00:00,College of Charleston,USA,College of Charleston/USA,6-5,250,1,5,Forward,Active,N,1610612762,Jazz,UTA,jazz,Utah,jarrell_brantley,2019,2020,Y,Y,Y,2019,2,50
0,1629649,Ignas,Brazdeikis,Ignas Brazdeikis,"Brazdeikis, Ignas",I. Brazdeikis,ignas-brazdeikis,1999-01-08T00:00:00,Michigan,Lithuania,Michigan/Lithuania,6-6,221,1,17,Forward,Active,N,1610612752,Knicks,NYK,knicks,New York,ignas_brazdeikis,2019,2020,Y,Y,Y,2019,2,47
0,1628969,Mikal,Bridges,Mikal Bridges,"Bridges, Mikal",M. Bridges,mikal-bridges,1996-08-30T00:00:00,Villanova,USA,Villanova/USA,6-6,209,2,25,Forward,Active,N,1610612756,Suns,PHX,suns,Phoenix,mikal_bridges,2018,2020,N,Y,Y,2018,1,10
0,1628970,Miles,Bridges,Miles Bridges,"Bridges, Miles",M. Bridges,miles-bridges,1998-03-21T00:00:00,Michigan State,USA,Michigan State/USA,6-6,225,2,0,Forward,Active,N,1610612766,Hornets,CHA,hornets,Charlotte,miles_bridges,2018,2020,N,Y,Y,2018,1,12
0,1629052,Oshae,Brissett,Oshae Brissett,"Brissett, Oshae",O. Brissett,oshae-brissett,1998-06-20T00:00:00,Syracuse,Canada,Syracuse/Canada,6-7,210,1,12,Forward-Guard,Active,N,1610612761,Raptors,TOR,raptors,Toronto,oshae_brissett,2019,2020,Y,Y,Y,Undrafted,Undrafted,Undrafted
0,1629151,Ryan,Broekhoff,Ryan Broekhoff,"Broekhoff, Ryan",R. Broekhoff,ryan-broekhoff,1990-08-23T00:00:00,Valparaiso,Australia,Valparaiso/Australia,6-6,215,2,45,Guard-Forward,Active,N,1610612755,76ers,PHI,sixers,Philadelphia,ryan_broekhoff,2018,2020,N,Y,Y,Undrafted,Undrafted,Undrafted
0,1627763,Malcolm,Brogdon,Malcolm Brogdon,"Brogdon, Malcolm",M. Brogdon,malcolm-brogdon,1992-12-11T00:00:00,Virginia,USA,Virginia/USA,6-5,229,4,7,Guard,Active,N,1610612754,Pacers,IND,pacers,Indiana,malcolm_brogdon,2016,2020,N,Y,Y,2016,2,36
0,1628415,Dillon,Brooks,Dillon Brooks,"Brooks, Dillon",D. Brooks,dillon-brooks,1996-01-22T00:00:00,Oregon,Canada,Oregon/Canada,6-7,225,3,24,Guard-Forward,Active,N,1610612763,Grizzlies,MEM,grizzlies,Memphis,dillon_brooks,2017,2020,N,Y,Y,2017,2,45
0,1628971,Bruce,Brown,Bruce Brown,"Brown, Bruce",B. Brown,bruce-brown,1996-08-15T00:00:00,Miami,USA,Miami/USA,6-4,202,2,6,Guard-Forward,Active,N,1610612765,Pistons,DET,pistons,Detroit,tmp_bruce_brown,2018,2020,Y,Y,Y,2018,2,42
0,1627759,Jaylen,Brown,Jaylen Brown,"Brown, Jaylen",J. Brown,jaylen-brown,1996-10-24T00:00:00,California,USA,California/USA,6-6,223,4,7,Guard-Forward,Active,N,1610612738,Celtics,BOS,celtics,Boston,jaylen_brown,2016,2020,N,Y,Y,2016,1,3
0,1629650,Moses,Brown,Moses Brown,"Brown, Moses",M. Brown,moses-brown,1999-10-13T00:00:00,UCLA,USA,UCLA/USA,7-2,245,1,4,Center,Active,N,1610612757,Trail Blazers,POR,blazers,Portland,moses_brown,2019,2020,Y,Y,Y,Undrafted,Undrafted,Undrafted
0,1628425,Sterling,Brown,Sterling Brown,"Brown, Sterling",S. Brown,sterling-brown,1995-02-10T00:00:00,Southern Methodist,USA,Southern Methodist/USA,6-5,219,3,23,Guard-Forward,Active,N,1610612749,Bucks,MIL,bucks,Milwaukee,sterling_brown,2017,2020,Y,Y,Y,2017,2,46
0,1629718,Charles,Brown Jr.,Charles Brown Jr.,"Brown Jr., Charles",C. Brown Jr.,charles-brown-jr,1997-02-02T00:00:00,St. Joseph's (PA),USA,St. Joseph's (PA)/USA,6-6,199,1,4,Guard,Active,N,1610612737,Hawks,ATL,hawks,Atlanta,charles_brown,2019,2020,Y,Y,Y,Undrafted,Undrafted,Undrafted
0,1628972,Troy,Brown Jr.,Troy Brown Jr.,"Brown Jr., Troy",T. Brown Jr.,troy-brown-jr,1999-07-28T00:00:00,Oregon,USA,Oregon/USA,6-6,215,2,6,Guard-Forward,Active,N,1610612764,Wizards,WAS,wizards,Washington,troy_brown_jr,2018,2020,Y,Y,Y,2018,1,15
0,1628973,Jalen,Brunson,Jalen Brunson,"Brunson, Jalen",J. Brunson,jalen-brunson,1996-08-31T00:00:00,Villanova,USA,Villanova/USA,6-1,190,2,13,Guard,Active,N,1610612742,Mavericks,DAL,mavericks,Dallas,jalen_brunson,2018,2020,N,Y,Y,2018,2,33
0,1628418,Thomas,Bryant,Thomas Bryant,"Bryant, Thomas",T. Bryant,thomas-bryant,1997-07-31T00:00:00,Indiana,USA,Indiana/USA,6-10,248,3,13,Center-Forward,Active,N,1610612764,Wizards,WAS,wizards,Washington,thomas_bryant,2017,2020,Y,Y,Y,2017,2,42
0,203493,Reggie,Bullock,Reggie Bullock,"Bullock, Reggie",R. Bullock,reggie-bullock,1991-03-16T00:00:00,North Carolina,USA,North Carolina/USA,6-6,205,7,25,Guard-Forward,Active,N,1610612752,Knicks,NYK,knicks,New York,reggie_bullock,2013,2020,Y,Y,Y,2013,1,25
0,203504,Trey,Burke,Trey Burke,"Burke, Trey",T. Burke,trey-burke,1992-11-12T00:00:00,Michigan,USA,Michigan/USA,6-0,185,7,32,Guard,Active,N,1610612742,Mavericks,DAL,mavericks,Dallas,trey_burke,2013,2020,Y,Y,Y,2013,1,9
0,202692,Alec,Burks,Alec Burks,"Burks, Alec",A. Burks,alec-burks,1991-07-20T00:00:00,Colorado,USA,Colorado/USA,6-6,214,9,20,Guard,Active,N,1610612755,76ers,PHI,sixers,Philadelphia,alec_burks,2011,2020,Y,Y,Y,2011,1,12
0,1629126,Deonte,Burton,Deonte Burton,"Burton, Deonte",D. Burton,deonte-burton,1994-01-31T00:00:00,Iowa State,USA,Iowa State/USA,6-4,240,2,30,Guard-Forward,Active,N,1610612760,Thunder,OKC,thunder,Oklahoma City,deonte_burton,2018,2020,Y,Y,Y,Undrafted,Undrafted,Undrafted
0,202710,Jimmy,Butler,Jimmy Butler,"Butler, Jimmy",J. Butler,jimmy-butler,1989-09-14T00:00:00,Marquette,USA,Marquette/USA,6-7,230,9,22,Forward,Active,N,1610612748,Heat,MIA,heat,Miami,jimmy_butler,2011,2020,N,Y,Y,2011,1,30
0,203998,Bruno,Caboclo,Bruno Caboclo,"Caboclo, Bruno",B. Caboclo,bruno-caboclo,1995-09-21T00:00:00,Pinheiros,Brazil,Pinheiros/Brazil,6-9,218,6,5,Forward,Active,N,1610612745,Rockets,HOU,rockets,Houston,bruno_caboclo,2014,2020,Y,Y,Y,2014,1,20
0,1629719,Devontae,Cacok,Devontae Cacok,"Cacok, Devontae",D. Cacok,devontae-cacok,1996-10-08T00:00:00,North Carolina-Wilmington,USA,North Carolina-Wilmington/USA,6-8,240,1,12,Forward,Active,N,1610612747,Lakers,LAL,lakers,Los Angeles,davontae_cacok,2019,2020,Y,Y,Y,Undrafted,Undrafted,Undrafted
0,203484,Kentavious,Caldwell-Pope,Kentavious Caldwell-Pope,"Caldwell-Pope, Kentavious",K. Caldwell-Pope,kentavious-caldwell-pope,1993-02-18T00:00:00,Georgia,USA,Georgia/USA,6-5,204,7,1,Guard,Active,N,1610612747,Lakers,LAL,lakers,Los Angeles,kentavious_caldwell-pope,2013,2020,N,Y,Y,2013,1,8
